element	line	kV	intensity	limit
Ac	Lβ3	15.931	0.48	0.2
Pa	Lβ4	16.095	0.2	0.2
Th	Lβ1	16.215	0.5	0.2
Th	Lβ3	16.419	0.48	0.2
Nb	Kα2	16.521	0.52	0.2
U	Lβ4	16.575	0.2	0.2
Nb	Kα1	16.615	1.0	0.2
Pa	Lβ1	16.715	0.5	0.2
Y	Kβ1	16.737	0.2	0.2
Pa	Lβ3	16.924	0.48	0.2
U	Lβ1	17.219	0.5	0.2
Mo	Kα2	17.374	0.52	0.2
U	Lβ3	17.454	0.48	0.2
Mo	Kα1	17.479	1.0	0.2
Zr	Kβ1	17.662	0.2	0.2
Tc	Kα2	18.251	0.52	0.2
Tc	Kα1	18.367	1.0	0.2
Nb	Kβ1	18.623	0.2	0.2
Ru	Kα2	19.15	0.52	0.2
Ru	Kα1	19.279	1.0	0.2
Mo	Kβ1	19.608	0.2	0.2
Rh	Kα2	20.073	0.52	0.0
Rh	Kα1	20.216	1.0	0.0
Tc	Kβ1	20.619	0.2	0.2
Pd	Kα2	21.021	0.52	0.2
Pd	Kα1	21.178	1.0	0.2
Ru	Kβ1	21.656	0.2	0.2
Ag	Kα2	21.991	0.52	0.0
Ag	Kα1	22.163	1.0	0.0
Rh	Kβ3	22.698	0.1	0.0
Rh	Kβ1	22.723	0.2	0.0
Cd	Kα2	22.985	0.52	0.2
Cd	Kα1	23.173	1.0	0.2
Rh	Kβ2	23.173	0.03	0.0
Pd	Kβ1	23.819	0.2	0.2
In	Kα2	24.002	0.52	0.2
In	Kα1	24.209	1.0	0.2
Ag	Kβ3	24.912	0.1	0.0
Ag	Kβ1	24.943	0.2	0.0
Sn	Kα2	25.044	0.52	0.2
Sn	Kα1	25.272	1.0	0.2
Ag	Kβ2	25.463	0.03	0.0
Cd	Kβ1	26.095	0.2	0.2
Sb	Kα2	26.11	0.52	0.2
Sb	Kα1	26.359	1.0	0.2
Te	Kα2	27.201	0.52	0.2
In	Kβ1	27.275	0.2	0.2
Te	Kα1	27.472	1.0	0.2
I	Kα2	28.317	0.52	0.2
Sn	Kβ1	28.491	0.2	0.2
I	Kα1	28.612	1.0	0.2
Xe	Kα2	29.459	0.52	0.2
Sb	Kβ1	29.725	0.2	0.2
Xe	Kα1	29.779	1.0	0.2
Cs	Kα2	30.625	0.52	0.2
Cs	Kα1	30.973	1.0	0.2
Te	Kβ1	30.995	0.2	0.2
Ba	Kα2	31.817	0.52	0.0
Ba	Kα1	32.194	.99	0.0
I	Kβ1	32.295	0.2	0.2
La	Kα2	33.034	0.52	0.2
La	Kα1	33.442	1.0	0.2
Xe	Kβ1	33.625	0.2	0.2
Ce	Kα2	34.279	0.52	0.2
Ce	Kα1	34.72	1.0	0.2
Cs	Kβ1	34.985	0.2	0.2
Pr	Kα2	35.55	0.52	0.2
Pr	Kα1	36.026	1.0	0.2
Ba	Kβ3	36.303	0.1	0.0
Ba	Kβ1	36.378	0.2	0.0
Nd	Kα2	36.847	0.52	0.2
Ba	Kβ2	37.27	0.03	0.0
Nd	Kα1	37.361	1.0	0.2
La	Kβ1	37.802	0.2	0.2
Pm	Kα2	38.171	0.52	0.2
Pm	Kα1	38.725	1.0	0.2
Ce	Kβ1	39.258	0.2	0.2
